@odata.etag,ItemInternalId,Shop,Target Gender,Category,Followers,Last posting date,Date,Website,Type,__PowerAppsId__
,,two.collection,F,Local,84K,45297,45298,,,
,,tactual.hk,M,Korea,12K,45296,45298,,,
,,iiinlab,M,Local/Korea,81K,45297,45298,,,
,,onece.co,M,Korea,69K,45298,45298,,,
,,179cm.korea,M,Korea,25K,45295,45298,,,
,,downshifting_hk,Unisex,streetwear/citywear,12K,45296,45298,,,
,,concept_kimbo,M,Korea,5K,45293,45298,,,
,,dress.code_hk,M,Korea,3.6K,45297,45298,,,
,,checkorea,F,Korea,13K,45298,45298,,,
,,soulo.hk,F,Korea,5K,45266,45298,,,
,,oaknus,F,Korea,7K,45281,45298,,,
,,sugu.hk,F,Korea,22K,45276,45298,,,
,,ppicnich,F,Korea,18K,45292,45298,,,
,,lilybshopp,F,JP,5.4K,45298,45298,,,
,,lady.chesna,F,Jp,3.8K,45298,45298,,,
,,mythsvintage,Unisex,Vintage/streetwear,3.8K,45294,45304,,,
,,_attictreasure,Unisex,Vintage/streetwear,800,45300,45304,,,
,,keepglowing_clothes,F,Korea,3.3K,45303,45304,,,
,,epoch.vintagehk,Unisex,Vintage/streetwear,10K,45296,45304,,,
,,2097.co,Unisex,Korea/Local,29K,45303,45304,,,
